Method Name,Class Name,Layer,Purpose,Internal Working,Real-Time Usage Scenario,Example Code
saveAgencyAcctRouting,AgencyAcctRoutingController,Controller,Handles POST request to create new AgencyAcctRouting,"1. Receives HTTP POST with JSON body
2. @RequestBody deserializes JSON to DTO
3. Calls service layer
4. Returns ResponseEntity with status",Create new agency account routing mapping for a user,"@PostMapping
public ResponseEntity<AgencyAcctRoutingDTO> saveAgencyAcctRouting(@RequestBody AgencyAcctRoutingDTO dto) {
    return new ResponseEntity<>(service.save(dto), HttpStatus.CREATED);
}"
updateAgencyAcctRouting,AgencyAcctRoutingController,Controller,Handles PUT request to update existing AgencyAcctRouting,"1. Receives HTTP PUT with JSON body
2. Calls service.saveAgentAcctRouting()
3. Returns updated DTO with OK status",Update existing agency account routing information,"@PutMapping
public ResponseEntity<AgencyAcctRoutingDTO> updateAgencyAcctRouting(@RequestBody AgencyAcctRoutingDTO dto) {
    return new ResponseEntity<>(service.save(dto), HttpStatus.OK);
}"
retrieveAgencyAcctRouting,AgencyAcctRoutingController,Controller,Handles GET request with search parameters,"1. Extracts query params: agntNbr, entpsId, userId
2. Handles 'null' string values
3. Calls service with parameters
4. Returns list of matching records",Search agency routings by agent number or enterprise ID,"@GetMapping(""/search"")
public ResponseEntity<List<DTO>> retrieve(@RequestParam String agntNbr) {
    return new ResponseEntity<>(service.retrieve(agntNbr), HttpStatus.OK);
}"
retrieveAllAgencyAcctRouting,AgencyAcctRoutingController,Controller,Handles GET request to retrieve all records,"1. Calls service.retrieveAllAgencyAcctRouting()
2. Returns list with OK status",Fetch all agency account routings for admin view,"@GetMapping
public ResponseEntity<List<DTO>> retrieveAll() {
    return new ResponseEntity<>(service.retrieveAll(), HttpStatus.OK);
}"
deleteAllAgencyAcctRoutingDetails,AgencyAcctRoutingController,Controller,Handles DELETE request with list of IDs,"1. Receives list of IDs from path variable
2. Calls service to delete
3. Returns success message",Bulk delete agency account routings,"@DeleteMapping(""/{id}"")
public ResponseEntity<String> delete(@PathVariable List<Long> id) {
    service.deleteAll(id);
    return ResponseEntity.ok(""Deleted"");
}"
saveR2BContractAgent,R2BContractAgentController,Controller,Handles POST request for R2B contract agent,"1. Receives DTO from request body
2. Handles ObjectOptimisticLockingFailureException
3. Returns created status",Create new R2B contract agent mapping,"@PostMapping
public ResponseEntity<DTO> save(@RequestBody DTO dto) {
    return new ResponseEntity<>(service.save(dto), HttpStatus.CREATED);
}"
retrieveR2BContractAgents,R2BContractAgentController,Controller,Handles search for R2B contract agents,"1. Extracts contractAgentNumber, brokerAgentNumber, agentName
2. Calls service with parameters
3. Returns list of matching agents",Search contract agents by multiple criteria,"@GetMapping(""/search"")
public List<DTO> retrieve(@RequestParam String contractAgentNumber) {
    return service.retrieve(contractAgentNumber);
}"
saveAgentAcctRouting,AgencyAcctRoutingServiceImpl,Service,Business logic to save agency account routing,"1. Validates user exists in Users table
2. Checks for duplicate agntNbr + entpsId
3. Maps DTO to Entity using ModelMapper
4. Calls repository.save()
5. Maps Entity back to DTO",Create new routing with validation and duplicate check,"@Override
public DTO save(DTO dto) {
    if(usersRepo.existsByUserId(dto.getUserId())) {
        Entity entity = mapper.map(dto, Entity.class);
        return mapper.map(repo.save(entity), DTO.class);
    }
}"
retrieveAgencyAcctRouting,AgencyAcctRoutingServiceImpl,Service,Business logic to search agency routings,"1. Checks which parameters are present
2. Handles wildcard (*) search patterns
3. Calls appropriate repository method
4. Maps entities to DTOs
5. Sorts results by agent number",Dynamic search based on available parameters,"public List<DTO> retrieve(String agntNbr, String entpsId) {
    boolean hasAgntNbr = StringUtils.hasText(agntNbr);
    if(hasAgntNbr && agntNbr.contains(""*"")) {
        return repo.findByAgntNbrLike(agntNbr.replace(""*"", ""%""));
    }
}"
retrieveAllAgencyAcctRouting,AgencyAcctRoutingServiceImpl,Service,Retrieves all agency account routings,"1. Calls repository.findAll()
2. Maps list of entities to DTOs
3. Sorts by agent number ascending",Fetch complete list for admin dashboard,"public List<DTO> retrieveAll() {
    List<Entity> list = repo.findAll();
    return mapper.map(list, new TypeToken<List<DTO>>(){}.getType());
}"
