Method Name,Class/Component/Service Name,Category,Purpose,Internal Working,Real-Time Usage Scenario,Example Code
"constructor()","All Classes","Lifecycle","Class instantiation and dependency injection","Called when Angular creates an instance of the class. DI system resolves and injects dependencies. Should NOT contain complex logic.","Initialize services needed by component. Set up form builders.","constructor(private http: HttpClient, private router: Router) { }"
"ngOnInit()","Components","Lifecycle","Component initialization after inputs are set","Called once after constructor and after first ngOnChanges. @Input properties are available. Safe to make API calls and set up subscriptions.","Load initial data, subscribe to route changes, initialize forms.","ngOnInit(): void { this.searchForm = new FormGroup({ ovAgentNumber: new FormControl('') }); }"
"ngOnChanges()","Components","Lifecycle","React to input property changes","Called before ngOnInit and whenever @Input properties change. Receives SimpleChanges object with previous and current values.","Update component when parent passes new data.","ngOnChanges(changes: SimpleChanges) { if (changes['record']) { this.updateForm(changes['record'].currentValue); } }"
"ngOnDestroy()","Components","Lifecycle","Cleanup before component destruction","Called once when component is about to be destroyed. Must unsubscribe from observables to prevent memory leaks.","Unsubscribe from subscriptions, remove event listeners.","ngOnDestroy(): void { if (this.subscription) { this.subscription.unsubscribe(); } }"
"ngAfterViewInit()","Components","Lifecycle","After view initialization","Called once after component's view and child views are initialized. Safe to access @ViewChild elements.","Initialize third-party libraries, access DOM elements.","ngAfterViewInit(): void { this.chart.initialize(this.chartElement.nativeElement); }"
"ngDoCheck()","Components","Lifecycle","Custom change detection","Called during every change detection run. Use for manual change detection logic. Use sparingly due to performance impact.","Detect changes Angular doesn't catch automatically.","ngDoCheck(): void { if (this.deepObjectChanged()) { this.updateUI(); } }"
"subscribe()","Observable","RxJS","Consume observable values","Creates subscription, receives next/error/complete callbacks. Starts observable execution. Returns Subscription object for cleanup.","Handle HTTP responses, process stream data.","this.http.get(url).subscribe({ next: (data) => this.results = data, error: (err) => this.handleError(err) });"
"unsubscribe()","Subscription","RxJS","Cancel subscription","Disposes subscription, stops receiving values, releases resources. Critical for preventing memory leaks.","Clean up subscriptions in ngOnDestroy.","ngOnDestroy(): void { this.subscription.unsubscribe(); }"
"pipe()","Observable","RxJS","Chain operators","Creates pipeline of operators that transform, filter, or combine observable emissions. Returns new Observable.","Transform API response, handle errors, log data.","this.http.get(url).pipe(map(data => data.results), catchError(this.handleError));"
"map()","RxJS Operators","RxJS","Transform emitted values","Applies function to each emission, returns new Observable with transformed values. Does not modify original.","Transform API response to component model.","userData$.pipe(map((user: any) => user.userId.toUpperCase()));"
"filter()","RxJS Operators","RxJS","Filter emissions by condition","Only emits values that pass provided predicate function. Skips values that don't match.","Filter navigation events, process only specific events.","router.events.pipe(filter(event => event instanceof NavigationEnd));"
"switchMap()","RxJS Operators","RxJS","Switch to new observable, cancel previous","Maps to inner Observable, subscribes, cancels previous inner subscription when new outer value arrives. Prevents race conditions.","Chain dependent HTTP calls, cancel outdated requests.","getAccessToken().pipe(switchMap(token => makeApiCall(token)));"
"mergeMap()","RxJS Operators","RxJS","Map and merge inner observables","Maps to inner Observable, subscribes, allows concurrent subscriptions. Does not cancel previous.","Process multiple parallel requests.","ids.pipe(mergeMap(id => this.http.get('/api/item/${id}')));"
"catchError()","RxJS Operators","RxJS","Handle errors in stream","Catches errors from source Observable, returns new Observable or throws. Prevents stream termination.","Handle API errors, provide fallback values.","http.get(url).pipe(catchError(error => { this.logError(error); return of([]); }));"
"tap()","RxJS Operators","RxJS","Side effects without modifying stream","Performs side effects for each emission without modifying values. Used for logging, state updates.","Log API responses, update loading state.","fetchData().pipe(tap(data => { this.isLoading = false; console.log('Received:', data); }));"
"take()","RxJS Operators","RxJS","Take first N values then complete","Emits only first N values, then completes. Useful for auto-completing subscriptions.","Get single value from stream, auto-unsubscribe.","authService.getUserId().pipe(take(1)).subscribe(id => this.userId = id);"
"of()","RxJS Creation","RxJS","Create observable from values","Creates Observable that emits provided values synchronously, then completes. Useful for mock data.","Return fallback value on error, mock data.","catchError(error => of([]));"
"throwError()","RxJS Creation","RxJS","Create observable that errors","Creates Observable that immediately emits error notification. Used to propagate errors.","Throw validation errors from service.","if (!userId) { return throwError(() => new Error('User ID required')); }"
"BehaviorSubject","RxJS Subject","RxJS","Subject with current value","Requires initial value, emits current value to new subscribers, stores latest value.","Share state across components, loading indicators.","private loading$ = new BehaviorSubject<boolean>(false); show() { this.loading$.next(true); }"
"get()","HttpClient","HTTP","HTTP GET request","Creates GET request, returns Observable. Supports headers, params, response type options.","Fetch data from REST API.","this.http.get<User[]>('/api/users', { headers: { 'Accept': 'application/json' } });"
"post()","HttpClient","HTTP","HTTP POST request","Creates POST request with body, returns Observable. Used to create resources.","Create new record via API.","this.http.post<User>('/api/users', newUser, { headers: { 'Content-Type': 'application/json' } });"
"put()","HttpClient","HTTP","HTTP PUT request","Creates PUT request with body, returns Observable. Used to update resources.","Update existing record via API.","this.http.put<User>('/api/users/${id}', updatedUser);"
"delete()","HttpClient","HTTP","HTTP DELETE request","Creates DELETE request, returns Observable. Used to remove resources.","Delete record via API.","this.http.delete('/api/users/${id}');"
"navigate()","Router","Routing","Programmatic navigation","Navigates to URL/route. Accepts array of path segments, extras (queryParams, state).","Navigate after form submission, redirect on error.","this.router.navigate(['/premium-audit-routing/edit', record.id], { state: { data: record } });"
