================================================================================
LINUX COMMANDS - COMPREHENSIVE INTERVIEW & REVISION GUIDE
Extracted from: Linux and Shell Scripting.txt (Deduplicated)
For: DevOps Engineers | System Administrators | Java Developers
================================================================================

================================================================================
STRUCTURED COMMAND TABLE
================================================================================

| # | Command / Concept         | Description                                                     | Real-Time Usage Scenario                                                  | Priority |
|---|---------------------------|-----------------------------------------------------------------|---------------------------------------------------------------------------|----------|
|   |                           |                                                                 |                                                                           |          |
|   | --- FILE & DIRECTORY ---  |                                                                 |                                                                           |          |
| 1 | pwd                       | Print current working directory                                 | Verify deployment path before running scripts on EC2                      | ***      |
| 2 | ls                        | List files in current directory                                 | Quick check of deployed JARs/configs on server                            | ***      |
| 3 | ls -l                     | Long listing with permissions, owner, size, date                | Verify file ownership and permissions after deployment                    | ***      |
| 4 | ls -lt                    | List sorted by modification time (newest first)                 | Identify latest log files or recently deployed artifacts                  | **       |
| 5 | ls -ltr                   | List sorted by time (oldest first)                              | Find oldest backup files for cleanup                                      | **       |
| 6 | ls -lr                    | List in reverse alphabetical order                              | Reverse sort for review                                                   | *        |
| 7 | ls -li                    | List with inode numbers                                         | Debug hard link / soft link issues                                        | *        |
| 8 | cd <dir>                  | Change directory                                                | Navigate to /var/log, /opt/app, /etc/nginx on servers                     | ***      |
| 9 | cd ..                     | Go up one directory level                                       | Navigate between nested deployment directories                            | ***      |
| 10| cd ~                      | Go to home directory of current user                            | Return to user home after deep navigation                                 | **       |
| 11| mkdir <dir>               | Create a new directory                                          | Create log directories, deployment folders on EC2                         | ***      |
| 12| rmdir <dir>               | Remove empty directory                                          | Clean up empty temp directories                                           | *        |
| 13| rm <file>                 | Delete a file                                                   | Remove old deployment artifacts and temp files                            | ***      |
| 14| rm *.txt                  | Delete all .txt files using wildcard                            | Bulk cleanup of log rotation files                                        | **       |
| 15| rm -rf <dir>              | Force delete directory and all contents (DANGEROUS)             | Clean up failed deployments, old Docker volumes                           | ***      |
| 16| touch <file>              | Create empty file or update timestamp                           | Create placeholder config files, lock files                               | ***      |
| 17| cp <src> <dest>           | Copy file from source to destination                            | Backup config before editing: cp nginx.conf nginx.conf.bak                | ***      |
| 18| mv <old> <new>            | Move or rename file/directory                                   | Rename releases: mv app-v1.jar app-v2.jar, move files between dirs       | ***      |
|   |                           |                                                                 |                                                                           |          |
|   | --- FILE VIEWING ---      |                                                                 |                                                                           |          |
| 19| cat <file>                | Display entire file content                                     | View small config files: cat application.yml                              | ***      |
| 20| cat > <file>              | Create file and write from stdin (Ctrl+D to save)               | Quick config file creation on fresh server                                | **       |
| 21| cat >> <file>             | Append data to existing file                                    | Add new entries to /etc/hosts or environment files                        | ***      |
| 22| cat -n <file>             | Display file with line numbers                                  | Reference specific lines when debugging config files                      | **       |
| 23| cat f1 f2 > f3            | Merge multiple files into one                                   | Combine split log files for analysis                                      | *        |
| 24| tac <file>                | Display file content in reverse (bottom to top)                 | View latest entries first in append-only logs                             | *        |
| 25| rev <file>                | Reverse characters in each line                                 | Rarely used, text manipulation edge cases                                 |          |
| 26| head <file>               | Show first 10 lines of file                                     | Quick peek at log file headers or config structure                        | ***      |
